code|name|active
10201503|{"en_US":"ROSAL VIVO AUGUSTA LOUISE"}|True
10201504|{"en_US":"ROSAL VIVO AVANT GARDE"}|True
10201505|{"en_US":"ROSAL VIVO BLUE BIRD"}|True
10201506|{"en_US":"ROSAL VIVO CURIOSA"}|True
10201507|{"en_US":"ROSAL VIVO COOL WATER"}|True
10201508|{"en_US":"ROSAL VIVO DELILAH"}|True
10201509|{"en_US":"ROSAL VIVO DOUBLE PARTY"}|True
10201510|{"en_US":"ROSAL VIVO FAITH"}|True
10201511|{"en_US":"ROSAL VIVO MAMI BLUE O MAMMY BLUE"}|True
10201512|{"en_US":"ROSAL VIVO MARÍTIMO"}|True
10201513|{"en_US":"ROSAL VIVO MILANO"}|True
10201514|{"en_US":"ROSAL VIVO MISTERY"}|True
10201515|{"en_US":"ROSAL VIVO OCEAN SONG O BOYFRIEND"}|True
10201516|{"en_US":"ROSAL VIVO CEZANNE PÚRPURA"}|True
10201517|{"en_US":"ROSAL VIVO PURPLE FRAGRANCE"}|True
10201518|{"en_US":"ROSAL VIVO SANAA"}|True
10201519|{"en_US":"ROSAL VIVO SILVERSTONE"}|True
10201520|{"en_US":"ROSAL VIVO SOULMATE"}|True
10201521|{"en_US":"ROSAL VIVO STRANGER"}|True
10201522|{"en_US":"ROSAL VIVO TINTED BLUE"}|True
10201523|{"en_US":"ROSAL VIVO TWO FACES"}|True
10201601|{"en_US":"ROSAL VIVO BLACK LAVA"}|True
10201602|{"en_US":"ROSAL VIVO CIMARRON"}|True
10201603|{"en_US":"ROSAL VIVO COFFEE BREAK"}|True
10201604|{"en_US":"ROSAL VIVO ESTELLE"}|True
10201605|{"en_US":"ROSAL VIVO GYPSY LEONIDAS"}|True
10201606|{"en_US":"ROSAL VIVO LEONIDAS"}|True
10201607|{"en_US":"ROSAL VIVO MATILDA"}|True
10201608|{"en_US":"ROSAL VIVO SUNNY LEONIDAS"}|True
10201609|{"en_US":"ROSAL VIVO TERRA NOSTRA"}|True
10201610|{"en_US":"ROSAL VIVO TERRACOTTA"}|True
10201701|{"en_US":"ROSAL VIVO ADVENIRE"}|True
10201702|{"en_US":"ROSAL VIVO ALEX"}|True
10201703|{"en_US":"ROSAL VIVO ANTIQUE BRASS"}|True
10201704|{"en_US":"ROSAL VIVO AUBADE"}|True
10201705|{"en_US":"ROSAL VIVO BEACH"}|True
10201706|{"en_US":"ROSAL VIVO BELLE PEARL"}|True
10201707|{"en_US":"ROSAL VIVO BLUSH DE LOS ANDES"}|True
10201708|{"en_US":"ROSAL VIVO CAMEL"}|True
10201709|{"en_US":"ROSAL VIVO CARAMEL ANTIKE O CARAMEL ANTIQUE"}|True
10201710|{"en_US":"ROSAL VIVO CHAMPAGNE"}|True
10201711|{"en_US":"ROSAL VIVO CLEAR OCEAN"}|True
10201712|{"en_US":"ROSAL VIVO COMBO"}|True
10201713|{"en_US":"ROSAL VIVO CREME DE LA CREME"}|True
10201714|{"en_US":"ROSAL VIVO EMANUELLA"}|True
10201715|{"en_US":"ROSAL VIVO EVOLUTION"}|True
10201716|{"en_US":"ROSAL VIVO FEDORA"}|True
10201717|{"en_US":"ROSAL VIVO FENICE"}|True
10201718|{"en_US":"ROSAL VIVO FRENCH VANILLA"}|True
10201719|{"en_US":"ROSAL VIVO HOLLYWOOD"}|True
10201720|{"en_US":"ROSAL VIVO ILIOS"}|True
10201721|{"en_US":"ROSAL VIVO JELENA"}|True
10201722|{"en_US":"ROSAL VIVO KAMELEON"}|True
